Film Key,Film Title,Production,Category,Has Downloadable Source on 1905 (False for films with limited source and empty for no source)
lin chong,林冲,Jiangnan Film Studio,Shanghai (state),True
liang ge xun luo bing,两个巡逻兵,Jiangnan Film Studio,Shanghai (state),True
miao jia er nv,苗家儿女,Jiangnan Film Studio,Shanghai (state),True
wu ming ying xiong,无名英雄,Jiangnan Film Studio,Shanghai (state),
lu ban de chuan shuo,鲁班的传说,Jiangnan Film Studio,Shanghai (state),True
san ba he bian,三八河边,Jiangnan Film Studio,Shanghai (state),
ai chang ru jia,爱厂如家,Jiangnan Film Studio,Shanghai (state),True
di yi lie kuai che,第一列快车,Jiangnan Film Studio,Shanghai (state),True
xiao fang zhi ge,消防之歌,Jiangnan Film Studio,Shanghai (state),
wo long hu,卧龙湖,Jiangnan Film Studio,Shanghai (state),
tie shu kai hua,铁树开花,Jiangnan Film Studio,Shanghai (state),
gang cheng hu jiang,钢城虎将,Jiangnan Film Studio,Shanghai (state),
re lang ben teng,热浪奔腾,Jiangnan Film Studio,Shanghai (state),
mu gui ying gua shuai (1958),穆桂英挂帅,Jiangnan Film Studio,Shanghai (state),True
qing tan,情探,Jiangnan Film Studio,Shanghai (state),True
san ge zhan you,三个战友,August First Film Studio,Beijing,True
hei shan zu ji zhan,黑山阻击战,August First Film Studio,Beijing,True
chang kong bi yi,长空比翼,August First Film Studio,Beijing,True
hong xia,红霞,August First Film Studio,Beijing,True
ying xiong hu dan,英雄虎胆,August First Film Studio,Beijing,True
du jiang tan xian,渡江探险,August First Film Studio,Beijing,True
yi ri qian li,一日千里,August First Film Studio,Beijing,True
yong bu xiao shi de dian bo,永不消逝的电波,August First Film Studio,Beijing,True
po chu mi xin,破除迷信,August First Film Studio,Beijing,
fan lao huan tong,返老还童,August First Film Studio,Beijing,True
jin ling zhuan,金铃传,August First Film Studio,Beijing,True
hai kuo tian kong,海阔天空,August First Film Studio,Beijing,True
lang ya shan wu zhuang shi,狼牙山五壮士,August First Film Studio,Beijing,True
xian wei shu ji,县委书记,August First Film Studio,Beijing,
yang guan da dao,阳关大道,August First Film Studio,Beijing,
jie ban ren,接班人,Pearl River Film Studio,Canton,
chuan chang zhui zong,船厂追踪,Changchun Film Studio,Northeast,
gang zhu fei che,钢珠飞车,Changchun Film Studio,Northeast,True
kang zhuang da dao,康庄大道,Changchun Film Studio,Northeast,True
wo men cun li de nian qing ren (shang ji),我们村里的年轻人（上集）,Changchun Film Studio,Northeast,True
xi cheng de gu shi,锡城的故事,Changchun Film Studio,Northeast,True
xiao zhu yan kai,笑逐颜开,Changchun Film Studio & Harbin Film Studio,Northeast,True
shi hang,试航,Changchun Film Studio,Northeast,
bing shang jie mei,冰上姐妹,Changchun Film Studio,Northeast,True
jie qin pei,借亲配,Changchun Film Studio,Northeast,
wu duo jin hua,五朵金花,Changchun Film Studio,Northeast,True
zhao xia,朝霞,Changchun Film Studio,Northeast,
yun wu shan zhong,云雾山中,Changchun Film Studio,Northeast,True
qing yun qu,青云曲,Changchun Film Studio,Northeast,
san kan hu die meng,三勘蝴蝶梦,Changchun Film Studio,Northeast,
hai shang shen ying,海上神鹰,Changchun Film Studio,Northeast,True
dou e yuan,窦娥冤,Changchun Film Studio,Northeast,
jin yu ji,金玉姬,Changchun Film Studio,Northeast,
huan le ren jian,换了人间,Changchun Film Studio,Northeast,True
zhan huo zhong de qing chun,战火中的青春,Changchun Film Studio,Northeast,True
liu shui huan ge,流水欢歌,Changchun Film Studio,Northeast,
qian shao,前哨,Changchun Film Studio,Northeast,True
chen san liang,陈三两,Changchun Film Studio,Northeast,
shuai jing jia,摔镜架,Changchun Film Studio,Northeast,
lin jia pu zi,林家铺子,Beijing Film Studio,Beijing,True
wu ming dao,无名岛,Beijing Film Studio,Beijing,True
kuang deng,矿灯,Beijing Film Studio,Beijing,True
fei yue tian xian,飞越天险,Beijing Film Studio,Beijing,True
feng bao,风暴,Beijing Film Studio,Beijing,True
qing chun zhi ge,青春之歌,Beijing Film Studio,Beijing,True
huan tian xi di (1959),欢天喜地,Beijing Film Studio,Beijing,True
shui shang chun qiu,水上春秋,Beijing Film Studio,Beijing,True
liang shi,粮食,Beijing Film Studio,Beijing,True
bai feng chao yang,百凤朝阳,Beijing Film Studio,Beijing,True
san ge mu qin,三个母亲,Haiyan Film Studio,Shanghai (state),True
hao hai zi,好孩子,Haiyan Film Studio,Shanghai (state),
nie er,聂耳,Haiyan Film Studio,Shanghai (state),True
huang pu jiang de gu shi,黄浦江的故事,Haiyan Film Studio,Shanghai (state),False
jin tian wo xiu xi,今天我休息,Haiyan Film Studio,Shanghai (state),True
wan zi qian hong zong shi chun,万紫千红总是春,Haiyan Film Studio,Shanghai (state),
xiang hai yang,向海洋,Haiyan Film Studio,Shanghai (state),
qiao lao ye shang jiao,乔老爷上轿,Haiyan Film Studio,Shanghai (state),True
lin ze xu,林则徐,Haiyan Film Studio,Shanghai (state),False
lao bing xin zhuan,老兵新传,Haiyan Film Studio,Shanghai (state),False
bai sui gua shuai,百岁挂帅,Haiyan Film Studio,Shanghai (state),True
gang tie shi jia,钢铁世家,Tianma Film Studio,Shanghai (state),
chun man ren jian,春满人间,Tianma Film Studio,Shanghai (state),True
sha mo zhui fei ji,沙漠追匪记,Tianma Film Studio,Shanghai (state),True
di xia shao xian dui,地下少先队,Tianma Film Studio,Shanghai (state),
xiang piao wan li,香飘万里,Tianma Film Studio,Shanghai (state),
di xia hang xian,地下航线,Tianma Film Studio,Shanghai (state),True
chun feng yang liu,春风杨柳,Tianma Film Studio,Shanghai (state),
bao lian deng,宝莲灯,Tianma Film Studio,Shanghai (state),True
zhui yu,追鱼,Tianma Film Studio,Shanghai (state),True
xing xing zhi huo,星星之火,Tianma Film Studio,Shanghai (state),
jie ri ge wu,节日歌舞,Tianma Film Studio,Shanghai (state),
bu lao song,不老松,Jiangnan Film Studio,Shanghai (state),
hui min zhi dui,回民支队,August First Film Studio,Beijing,True
jiang shan duo jiao,江山多娇,August First Film Studio,Beijing,True
hai ying,海鹰,August First Film Studio,Beijing,True
wan shui qian shan,万水千山,August First Film Studio,Beijing,True
lie huo zhen jin,烈火真金,August First Film Studio,Beijing,
wu duo hong yun,五朵红云,August First Film Studio,Beijing,True
ying xiong dao,英雄岛,August First Film Studio,Beijing,True
chi feng hao,赤峰号,August First Film Studio,Beijing,True
you yi,友谊,August First Film Studio,Beijing,True
zhan shang hai,战上海,August First Film Studio,Beijing,True
mu gui ying gua shuai (1959),穆桂英挂帅,Central Newsreel and Documentary Film Studio,Beijing,
yu dao zhi zi,渔岛之子,Pearl River Film Studio,Canton,True
xue hai yin shan,雪海银山,Xi'an Film Studio,Xi'an,True
tian shan ge sheng,天山歌声,Xi'an Film Studio,Xi'an,False
xian hua duo duo kai,鲜花朵朵开,Xi'an Film Studio,Xi'an,
huan hun ji,还魂记,Changchun Film Studio,Northeast,True
hong yan,鸿雁,Changchun Film Studio,Northeast,
tai yang gang gang chu shan,太阳刚刚出山,Changchun Film Studio,Northeast,True
tuan yuan zhi hou,团圆之后,Changchun Film Studio,Northeast,
zai sheng ji,再生记,Changchun Film Studio,Northeast,True
tie dao wei shi,铁道卫士,Changchun Film Studio,Northeast,True
feng huo lie che,烽火列车,Changchun Film Studio,Northeast,True
shen yang shou,神秧手,Changchun Film Studio,Northeast,True
shi ji lang,十级浪,Changchun Film Studio,Northeast,
pan yang song,潘杨讼,Changchun Film Studio,Northeast,
liu san jie,刘三姐,Changchun Film Studio,Northeast,True
qiang di song,羌笛颂,Changchun Film Studio,Northeast,True
dong feng di yi zhi,东风第一枝,Changchun Film Studio,Northeast,
kong yin he,空印盒,Changchun Film Studio,Northeast,
wo men shi yi dai ren,我们是一代人,Changchun Film Studio,Northeast,True
you yuan jing meng (1960),游园惊梦(1960),Beijing Film Studio,Beijing,True
wei le liu shi yi ge jie ji di xiong,为了六十一个阶级弟兄,Beijing Film Studio,Beijing,True
yang men nv jiang,杨门女将,Beijing Film Studio,Beijing,True
wu cai lu,五彩路,Beijing Film Studio,Beijing,True
yi ge ming de ming yi,以革命的名义,Beijing Film Studio,Beijing,True
hong hua bian di kai,红花遍地开,Beijing Film Studio,Beijing,True
chun nuan hua kai,春暖花开,Beijing Film Studio,Beijing,True
geng yun bo yu,耕云播雨,Beijing Film Studio,Beijing,True
ge ming jia ting,革命家庭,Beijing Film Studio,Beijing,True
liu shi nian dai di yi chun,六十年代第一春,Haiyan Film Studio & Tianma Film Studio,Shanghai (state),
chuang guan,闯关,Haiyan Film Studio,Shanghai (state),
ji liu,激流,Haiyan Film Studio,Shanghai (state),True
mian dian wen hua dai biao tuan fang hua yan chu,缅甸文化代表团访华演出,Haiyan Film Studio,Shanghai (state),True
mo ya dai,摩雅傣,Haiyan Film Studio,Shanghai (state),True
ma lan hua,马兰花,Haiyan Film Studio,Shanghai (state),True
qin niang mei,秦娘美,Haiyan Film Studio,Shanghai (state),True
nv shen,女审,Haiyan Film Studio,Shanghai (state),True
ta men de xin yuan,她们的心愿,Tianma Film Studio,Shanghai (state),
feng liu ren wu shu jin zhao,风流人物数今朝,Tianma Film Studio & Haiyan Film Studio,Shanghai (state),
xiang yang hua kai,向阳花开,Tianma Film Studio,Shanghai (state),True
dou shi ting,斗诗亭,Tianma Film Studio,Shanghai (state),True
sun wu kong san da bai gu jing,孙悟空三打白骨精,Tianma Film Studio,Shanghai (state),True
hong ying zhan chi,红鹰展翅,August First Film Studio,Beijing,True
shi er ci lie che,十二次列车,August First Film Studio,Beijing,True
san ba xian shang,三八线上,August First Film Studio,Beijing,True
ke shan hong ri,柯山红日,August First Film Studio,Beijing,True
lin hai xue yuan,林海雪原,August First Film Studio,Beijing,True
hong ying,红鹰,August First Film Studio,Beijing,True
meng long sha,勐垅沙,August First Film Studio,Beijing,True
qi xi,奇袭,August First Film Studio,Beijing,True
ying xiong shi pian,英雄诗篇,Pearl River Film Studio,Canton,True
xin dui yuan,新队员,Pearl River Film Studio,Canton,True
hui yan dan xin,慧眼丹心,Pearl River Film Studio,Canton,
bi kong yin hua,碧空银花,Xi'an Film Studio,Xi'an,True
yong heng de you yi,永恒的友谊,Xi'an Film Studio,Xi'an,True
kang han qu,抗旱曲,Xi'an Film Studio,Xi'an,False
san di xue,三滴血,Xi'an Film Studio,Xi'an,True
yi wen qian,一文钱,Xi'an Film Studio,Xi'an,True
fu zi lia,父子俩,Studio of Beijing Film Academy,Beijing,
ma xi tuan de xin jie mu,马戏团的新节目,Changchun Film Studio,Northeast,True
wan mu chun,万木春,Changchun Film Studio,Northeast,True
jian shui dong liu,涧水东流,Changchun Film Studio,Northeast,
dong mei,冬梅,Changchun Film Studio,Northeast,True
shu jia de li wu,暑假的礼物,Changchun Film Studio,Northeast,True
bao feng zhou yu,暴风骤雨,Beijing Film Studio,Beijing,True
chun lei (1961),春雷,Beijing Film Studio,Beijing,
bei da huang ren,北大荒人,Beijing Film Studio,Beijing,True
51 hao bing zhan,51号兵站,Haiyan Film Studio,Shanghai (state),True
ku mu feng chun,枯木逢春,Haiyan Film Studio,Shanghai (state),False
man luo hua,蔓萝花,Haiyan Film Studio,Shanghai (state),True
chun cui tao li,春催桃李,Haiyan Film Studio,Shanghai (state),True
hong se niang zi jun,红色娘子军,Tianma Film Studio,Shanghai (state),True
ying xiong xiao ba lu,英雄小八路,Tianma Film Studio,Shanghai (state),True
xiao dao hui,小刀会,Tianma Film Studio,Shanghai (state),True
tu po wu jiang,突破乌江,August First Film Studio,Beijing,True
bi kong xiong shi,碧空雄师,August First Film Studio,Beijing,
hong shan hu,红珊瑚,August First Film Studio,Beijing,True
li jing ji,荔镜记,Pearl River Film Studio,Canton,
ba shan hong lang,巴山红浪,Xi'an Film Studio,Xi'an,False
yan an you ji dui,延安游击队,Xi'an Film Studio,Xi'an,True
san guan pai yan,三关排宴,Changchun Film Studio,Northeast,False
liu yi chuan shu,柳毅传书,Changchun Film Studio,Northeast,True
jia wu feng yun,甲午风云,Changchun Film Studio,Northeast,True
lu huo zheng hong,炉火正红,Changchun Film Studio,Northeast,True
hua er duo duo,花儿朵朵,Beijing Film Studio,Beijing,True
kun lun shan shang yi ke cao,昆仑山上一棵草,Beijing Film Studio,Beijing,True
ting zhan yi hou,停战以后,Beijing Film Studio,Beijing,True
jin shang tian hua,锦上添花,Beijing Film Studio,Beijing,True
sun an dong ben,孙安动本,Haiyan Film Studio,Shanghai (state),True
li shuang shuang,李双双,Haiyan Film Studio,Shanghai (state),True
mo shu shi de qi yu,魔术师的奇遇,Tianma Film Studio,Shanghai (state),True
nv li fa shi,女理发师,Tianma Film Studio,Shanghai (state),True
liao yuan,燎原,Tianma Film Studio,Shanghai (state),False
da li 、 xiao li he lao li,大李、小李和老李,Tianma Film Studio,Shanghai (state),True
dong jin xu qu,东进序曲,August First Film Studio,Beijing,True
ge lia hao,哥俩好,August First Film Studio,Beijing,True
huai shu zhuang,槐树庄,August First Film Studio,Beijing,True
di lei zhan,地雷战,August First Film Studio,Beijing,True
e er duo si feng bao,鄂尔多斯风暴,August First Film Studio,Beijing,True
bi hai dan xin,碧海丹心,August First Film Studio,Beijing,True
ying xiong tan ke shou,英雄坦克手,August First Film Studio,Beijing,True
han jiang hua si jin,韩江花似锦,Pearl River Film Studio,Canton,True
nan hai chao,南海潮,Pearl River Film Studio,Canton,True
qi wang qiu jiang,齐王求将,Pearl River Film Studio & Hong Kong Hongtu Film Company,Canton,True
hong ye ti shi,红叶题诗,Pearl River Film Studio & Hong Kong Hongtu Film Company,Canton,
sheng ming de huo hua,生命的火花,Xi'an Film Studio,Xi'an,False
shang xiao yun wu tai yi shu,尚小云舞台艺术,Xi'an Film Studio,Xi'an,True
bing shan shang de lai ke,冰山上的来客,Changchun Film Studio,Northeast,True
hua wei mei,花为媒,Changchun Film Studio,Northeast,True
zi you hou lai ren,自有后来人,Changchun Film Studio,Northeast,True
chao yang gou,朝阳沟,Changchun Film Studio,Northeast,True
wo men cun li de nian qing ren (xu ji),我们村里的年轻人（续集）,Changchun Film Studio,Northeast,True
man yi bu man yi,满意不满意,Changchun Film Studio,Northeast,False
liang jia ren,两家人,Changchun Film Studio,Northeast,True
qiang tou ma shang,墙头马上,Changchun Film Studio,Northeast,True
bing xue jin da lai,冰雪金达莱,Changchun Film Studio,Northeast,True
fen shui chang liu,汾水长流,Beijing Film Studio,Beijing,True
hong he ji lang,红河激浪,Beijing Film Studio,Beijing,False
zao chun er yue,早春二月,Beijing Film Studio,Beijing,True
xiao bing zhang ga,小兵张嘎,Beijing Film Studio,Beijing,True
chun yan zhan chi,春燕展翅,Beijing Film Studio,Beijing,True
xiong mei tan bao,兄妹探宝,Haiyan Film Studio,Shanghai (state),False
fei dao hua,飞刀华,Haiyan Film Studio,Shanghai (state),False
ru ci die niang,如此爹娘,Haiyan Film Studio,Shanghai (state),False
bei guo jiang nan,北国江南,Haiyan Film Studio,Shanghai (state),False
shui shou zhang de gu shi,水手长的故事,Haiyan Film Studio,Shanghai (state),False
hong ri,红日,Tianma Film Studio,Shanghai (state),True
jin sha jiang pan,金沙江畔,Tianma Film Studio,Shanghai (state),True
bao hu lu de mi mi,宝葫芦的秘密,Tianma Film Studio,Shanghai (state),True
can hua gu niang,蚕花姑娘,Tianma Film Studio,Shanghai (state),False
wu song,武松,Tianma Film Studio,Shanghai (state),True
qiu mi,球迷,Tianma Film Studio,Shanghai (state),False
ye huo chun feng dou gu cheng,野火春风斗古城,August First Film Studio,Beijing,True
nong nu,农奴,August First Film Studio,Beijing,True
nu chao,怒潮,August First Film Studio,Beijing,True
zhua zhuang ding,抓壮丁,August First Film Studio,Beijing,True
ge ming li shi ge qu biao yan chang,革命历史歌曲表演唱,August First Film Studio,Beijing,True
duo yin,夺印,August First Film Studio,Beijing,
gen zong zhui ji,跟踪追击,Pearl River Film Studio,Canton,True
qi shi er jia fang ke,七十二家房客,Pearl River Film Studio & Hong Kong Hongtu Film Company,Canton,False
mao zi pei chuang gong,毛子佩闯宫,Pearl River Film Studio & Hong Kong Hongtu Film Company,Canton,True
tao hua shan,桃花扇,Xi'an Film Studio,Xi'an,True
du li da dui,独立大队,Changchun Film Studio,Northeast,False
bing lin cheng xia,兵临城下,Changchun Film Studio,Northeast,True
ying xiong er nv,英雄儿女,Changchun Film Studio,Northeast,True
hong guan jia,红管家,Changchun Film Studio,Northeast,
hao xi fu,好媳妇,Changchun Film Studio,Northeast,True
nan hai de zao chen,南海的早晨,Changchun Film Studio,Northeast,True
nv tiao shui dui yuan,女跳水队员,Changchun Film Studio,Northeast,True
cai die fen fei,彩蝶纷飞,Beijing Film Studio,Beijing,True
xiao ling dang,小铃铛,Beijing Film Studio,Beijing,True
qing nian lu ban,青年鲁班,Beijing Film Studio,Beijing,False
xiao er hei jie hun,小二黑结婚,Beijing Film Studio,Beijing,False
qian wan bu yao wang ji,千万不要忘记,Beijing Film Studio,Beijing,False
cao yuan xiong ying,草原雄鹰,Beijing Film Studio,Beijing,False
jian gan he bian,箭杆河边,Beijing Film Studio,Beijing,True
qing shan lian,青山恋,Haiyan Film Studio,Shanghai (state),False
a shi ma,阿诗玛,Haiyan Film Studio,Shanghai (state),True
feng shou zhi hou,丰收之后,Haiyan Film Studio,Shanghai (state),False
li shan zi,李善子,Haiyan Film Studio,Shanghai (state),
jia ting wen ti,家庭问题,Tianma Film Studio,Shanghai (state),False
ni hong deng xia de shao bing,霓虹灯下的哨兵,Tianma Film Studio,Shanghai (state),False
xue bei,血碑,Tianma Film Studio,Shanghai (state),
an bian ji lang,岸边激浪,August First Film Studio,Beijing,True
dai bing de ren,带兵的人,August First Film Studio,Beijing,True
lei feng,雷锋,August First Film Studio,Beijing,True
fen shui ling,分水岭,August First Film Studio,Beijing,True
xu ri dong sheng,旭日东升,August First Film Studio,Beijing,
dong feng wan li,东风万里,August First Film Studio,Beijing,
ni feng qian li,逆风千里,Pearl River Film Studio,Canton,False
liu ming zhu,刘明珠,Pearl River Film Studio & Hong Kong Hongtu Film Company,Canton,True
shan cun kuai ji,山村会计,Changchun Film Studio,Northeast,True
san jin shan cheng,三进山城,Changchun Film Studio,Northeast,True
jing po gu niang,景颇姑娘,Changchun Film Studio,Northeast,True
“te kuai” lie che,“特快”列车,Changchun Film Studio,Northeast,True
qing song ling,青松岭,Changchun Film Studio,Northeast,True
lu kao,路考,Changchun Film Studio,Northeast,True
chuan qiang ji,传枪记,Changchun Film Studio,Northeast,True
bai shan xin ge,白山新歌,Changchun Film Studio,Northeast,True
yi ke hong xin,一颗红心,Changchun Film Studio,Northeast,True
jin yao chi,金钥匙,Changchun Film Studio,Northeast,True
duo duo hong hua xiang tai yang,朵朵红花向太阳,Changchun Film Studio,Northeast,
jie zhen guo,节振国,Changchun Film Studio,Northeast,
lie huo zhong yong sheng,烈火中永生,Beijing Film Studio,Beijing,True
mei dian xin gong ren,煤店新工人,Beijing Film Studio,Beijing,
shan cun jie mei,山村姐妹,Beijing Film Studio,Beijing,True
hong se bei lou,红色背篓,Beijing Film Studio,Beijing,True
long ma jing shen,龙马精神,Beijing Film Studio,Beijing,True
hua bei qu ye yu hua ju wu tai yi shu pian (shang ji),华北区业余话剧舞台艺术片（上集）,Beijing Film Studio,Beijing,
hua bei qu ye yu hua ju wu tai yi shu pian (xia ji),华北区业余话剧舞台艺术片（下集）,Beijing Film Studio,Beijing,
mai niu 、ba gua yuan,买牛、扒瓜园,Beijing Film Studio,Beijing,True
san duo xiao hong hua,三朵小红花,Beijing Film Studio,Beijing,True
lang tao gun gun,浪涛滚滚,Beijing Film Studio,Beijing,True
xiao zu qiu dui,小足球队,Haiyan Film Studio,Shanghai (state),True
huang sha lv lang,黄沙绿浪,Haiyan Film Studio,Shanghai (state),True
hong hua qu,红花曲,Haiyan Film Studio,Shanghai (state),
nong jia bao 、liang long di,农家宝、两垅地,Haiyan Film Studio,Shanghai (state),
zhe shi wo ying gai zuo de,这是我应该做的,Haiyan Film Studio,Shanghai (state),
gu sao lian wu,姑嫂练武,Haiyan Film Studio,Shanghai (state),
nian qing de yi dai,年青的一代,Tianma Film Studio,Shanghai (state),True
gui tai,柜台,Tianma Film Studio,Shanghai (state),True
wu tai jie mei,舞台姐妹,Tianma Film Studio,Shanghai (state),True
xi qu ji jin,戏曲集锦,Tianma Film Studio,Shanghai (state),
shang hai zhi chun,上海之春,Tianma Film Studio,Shanghai (state),True
fu jian gong yi xin hua,福建工艺新花,Shanghai Animation Film Studio,Shanghai (state),
shang hai shi shao nian er tong ge ming ge wu xuan ji,上海市少年儿童革命歌舞选辑,Shanghai Animation Film Studio,Shanghai (state),
da ji qin lve zhe,打击侵略者,August First Film Studio,Beijing,True
ku cai hua,苦菜花,August First Film Studio,Beijing,True
mi mi tu zhi,秘密图纸,August First Film Studio,Beijing,True
di dao zhan,地道战,August First Film Studio,Beijing,True
sheng li zai wang,胜利在望,August First Film Studio,Beijing,True
jun ken zhan ge,军垦战歌,August First Film Studio,Beijing,
dong fang hong,东方红,August First Film Studio & Beijing Film Studio & Central Newsreel and Documentary Film Studio,Beijing,True
shuang jiao zi,双教子,Pearl River Film Studio,Canton,True
shan cun xin qu,山村新曲,Pearl River Film Studio,Canton,True
da tong luo 、bu guo,打铜锣、补锅,Pearl River Film Studio,Canton,True
hong mei ling,红梅岭,Xi'an Film Studio,Xi'an,True
ren huan ma jiao,人欢马叫,Xi'an Film Studio,Xi'an,True
jun ge liao liang,军歌嘹亮,Xi'an Film Studio,Xi'an,True
ha er bin zhi xia,哈尔滨之夏,Changchun Film Studio,Northeast,
yan hong ling xia,雁鸿岭下,Changchun Film Studio,Northeast,
hong se you lu,红色邮路,Beijing Film Studio,Beijing,True
nv fei xing yuan,女飞行员,Beijing Film Studio,Beijing,True
hong shi zhong sheng,红石钟声,Beijing Film Studio,Beijing,True
ta men zai cheng zhang,他们在成长,Haiyan Film Studio,Shanghai (state),
shang hai gong yi mei shu,上海工艺美术,Shanghai Animation Film Studio,Shanghai (state),
yi bai ge fang xin,一百个放心,August First Film Studio,Beijing,True
qing chun hong si huo,青春红似火,August First Film Studio,Beijing,True
you xiang,游乡,Pearl River Film Studio,Canton,
jie niu,借牛,Pearl River Film Studio,Canton,
song liang,送粮,Pearl River Film Studio,Canton,
da lang tao sha,大浪淘沙,Pearl River Film Studio,Canton,True
yi dai mai zhong,一袋麦种,Pearl River Film Studio,Canton,
lao bao guan 、xin xi fu lai le,老保管、新媳妇来了,Xi'an Film Studio,Xi'an,True
yi chuan xiang lian,一串项链,Xi'an Film Studio,Xi'an,True